,bathrooms,bedrooms,floors,grade,price,sqft_above,sqft_basement,sqft_lot
0,1.0,3.0,1.0,7.0,221900.0,1180.0,0.0,5650.0
2,1.0,2.0,1.0,6.0,180000.0,770.0,0.0,10000.0
3,3.0,4.0,1.0,7.0,604000.0,1050.0,910.0,5000.0
4,2.0,3.0,1.0,8.0,510000.0,1680.0,0.0,8080.0
5,4.5,4.0,1.0,11.0,1230000.0,3890.0,1530.0,101930.0
6,2.25,3.0,2.0,7.0,257500.0,1715.0,0.0,6819.0
7,1.5,3.0,1.0,7.0,291850.0,1060.0,0.0,9711.0
8,1.0,3.0,1.0,7.0,229500.0,1050.0,730.0,7470.0
9,2.5,3.0,2.0,7.0,323000.0,1890.0,0.0,6560.0
10,2.5,3.0,1.0,8.0,662500.0,1860.0,1700.0,9796.0
11,1.0,2.0,1.0,7.0,468000.0,860.0,300.0,6000.0
12,1.0,3.0,1.5,7.0,310000.0,1430.0,0.0,19901.0
13,1.75,3.0,1.0,7.0,400000.0,1370.0,0.0,9680.0
14,2.0,5.0,1.5,7.0,530000.0,1810.0,0.0,4850.0
15,3.0,4.0,2.0,9.0,650000.0,1980.0,970.0,5000.0
16,2.0,3.0,2.0,7.0,395000.0,1890.0,0.0,14040.0
17,1.0,4.0,1.5,7.0,485000.0,1600.0,0.0,4300.0
18,1.0,2.0,1.0,7.0,189000.0,1200.0,0.0,9850.0
19,1.0,3.0,1.0,7.0,230000.0,1250.0,0.0,9774.0
20,1.75,4.0,1.0,7.0,385000.0,860.0,760.0,4980.0
21,2.75,3.0,1.0,9.0,2000000.0,2330.0,720.0,44867.0
22,2.5,5.0,2.0,8.0,285000.0,2270.0,0.0,6300.0
23,1.5,2.0,1.0,7.0,252700.0,1070.0,0.0,9643.0
24,2.25,3.0,2.0,8.0,329000.0,2450.0,0.0,6500.0
25,2.0,3.0,1.5,6.0,233000.0,1710.0,0.0,4697.0
26,1.75,3.0,2.0,8.0,937000.0,1750.0,700.0,2691.0
27,1.0,3.0,1.5,8.0,667000.0,1400.0,0.0,1581.0
28,1.75,3.0,1.0,7.0,438000.0,790.0,730.0,6380.0
29,2.5,4.0,2.0,8.0,719000.0,2570.0,0.0,7173.0
30,2.5,3.0,2.0,8.0,580500.0,2320.0,0.0,3980.0
31,1.5,2.0,3.0,7.0,280000.0,1190.0,0.0,1265.0
32,1.75,4.0,1.5,7.0,687500.0,1510.0,820.0,5000.0
33,1.0,3.0,1.5,8.0,535000.0,1090.0,0.0,3000.0
34,2.75,4.0,1.0,7.0,322500.0,1280.0,780.0,6659.0
36,1.0,4.0,1.0,5.0,550000.0,930.0,730.0,34848.0
37,2.0,4.0,2.0,8.0,640000.0,2360.0,0.0,6000.0
38,1.0,4.0,1.0,7.0,240000.0,890.0,330.0,8075.0
39,2.5,4.0,2.0,8.0,605000.0,2620.0,0.0,7553.0
