,bathrooms,bedrooms,floors,grade,house_age,lat,long,price,sqft_basement,sqft_living,sqft_lot,waterfront,yr_built,zipcode
42,2.75,5,2.0,9,0,47.6848,-122.016,861990.0,,3595,5639,False,2014,98053
63,1.75,3,3.0,8,0,47.6765,-122.32,549000.0,0.0,1540,1044,False,2014,98115
116,3.5,3,3.0,8,4,47.6824,-122.34700000000001,518500.0,0.0,1590,1102,False,2010,98103
133,2.5,3,2.0,8,0,47.5517,-121.99799999999999,453246.0,620.0,2010,2287,False,2014,98029
139,2.25,3,3.0,8,0,47.6722,-122.381,519950.0,0.0,1170,1249,False,2014,98107
206,2.5,3,2.0,8,4,47.7073,-122.11399999999999,677900.0,0.0,2440,4587,False,2010,98052
211,2.25,3,2.0,8,0,47.6647,-122.28399999999999,625504.0,210.0,1270,1566,False,2014,98105
277,2.75,4,2.0,9,0,47.7618,-122.26100000000001,770000.0,970.0,3820,26300,False,2014,98028
320,2.75,5,2.0,9,1,47.6759,-122.15100000000001,819900.0,0.0,3150,7119,False,2013,98052
341,3.5,4,2.0,9,4,47.5222,-122.15700000000001,684000.0,620.0,3040,8414,False,2010,98059
363,2.5,3,1.0,8,1,47.6743,-122.184,604950.0,770.0,2110,5608,True,2013,98033
418,2.25,3,2.0,8,2,47.7318,-121.98200000000001,355000.0,0.0,1860,5028,True,2012,98019
474,2.75,4,2.0,9,3,47.5906,-122.06200000000001,859900.0,0.0,3390,6298,False,2011,98074
562,2.5,3,2.0,9,0,47.6935,-122.352,880000.0,0.0,2870,5163,False,2014,98103
576,2.5,3,2.0,7,5,47.3521,-122.212,266000.0,0.0,1805,3402,True,2009,98002
577,4.0,4,2.5,9,5,47.7466,-122.029,930000.0,1900.0,6050,84942,False,2009,98077
626,2.5,3,3.0,9,0,47.5876,-122.309,559950.0,0.0,1660,1458,False,2014,98144
643,2.5,3,3.0,9,0,47.5818,-122.402,729500.0,130.0,1660,1091,False,2015,98116
685,2.75,5,2.0,9,1,47.5462,-122.182,802541.0,,2990,6768,False,2014,98006
732,2.75,3,2.0,8,2,47.7336,-121.965,403000.0,0.0,2090,8354,False,2012,98019
