,bathrooms,bedrooms,floors,grade,price,sqft_above,sqft_basement,sqft_living,sqft_lot
0,1.0,3,1.0,7,221900.0,1180,0.0,1180,5650
2,1.0,2,1.0,6,180000.0,770,0.0,770,10000
3,3.0,4,1.0,7,604000.0,1050,910.0,1960,5000
4,2.0,3,1.0,8,510000.0,1680,0.0,1680,8080
5,4.5,4,1.0,11,1230000.0,3890,1530.0,5420,101930
6,2.25,3,2.0,7,257500.0,1715,0.0,1715,6819
7,1.5,3,1.0,7,291850.0,1060,0.0,1060,9711
8,1.0,3,1.0,7,229500.0,1050,730.0,1780,7470
9,2.5,3,2.0,7,323000.0,1890,0.0,1890,6560
10,2.5,3,1.0,8,662500.0,1860,1700.0,3560,9796
11,1.0,2,1.0,7,468000.0,860,300.0,1160,6000
12,1.0,3,1.5,7,310000.0,1430,0.0,1430,19901
13,1.75,3,1.0,7,400000.0,1370,0.0,1370,9680
14,2.0,5,1.5,7,530000.0,1810,0.0,1810,4850
15,3.0,4,2.0,9,650000.0,1980,970.0,2950,5000
16,2.0,3,2.0,7,395000.0,1890,0.0,1890,14040
17,1.0,4,1.5,7,485000.0,1600,0.0,1600,4300
18,1.0,2,1.0,7,189000.0,1200,0.0,1200,9850
19,1.0,3,1.0,7,230000.0,1250,0.0,1250,9774
20,1.75,4,1.0,7,385000.0,860,760.0,1620,4980
21,2.75,3,1.0,9,2000000.0,2330,720.0,3050,44867
22,2.5,5,2.0,8,285000.0,2270,0.0,2270,6300
23,1.5,2,1.0,7,252700.0,1070,0.0,1070,9643
24,2.25,3,2.0,8,329000.0,2450,0.0,2450,6500
25,2.0,3,1.5,6,233000.0,1710,0.0,1710,4697
26,1.75,3,2.0,8,937000.0,1750,700.0,2450,2691
27,1.0,3,1.5,8,667000.0,1400,0.0,1400,1581
28,1.75,3,1.0,7,438000.0,790,730.0,1520,6380
29,2.5,4,2.0,8,719000.0,2570,0.0,2570,7173
30,2.5,3,2.0,8,580500.0,2320,0.0,2320,3980
31,1.5,2,3.0,7,280000.0,1190,0.0,1190,1265
32,1.75,4,1.5,7,687500.0,1510,820.0,2330,5000
33,1.0,3,1.5,8,535000.0,1090,0.0,1090,3000
34,2.75,4,1.0,7,322500.0,1280,780.0,2060,6659
36,1.0,4,1.0,5,550000.0,930,730.0,1660,34848
37,2.0,4,2.0,8,640000.0,2360,0.0,2360,6000
38,1.0,4,1.0,7,240000.0,890,330.0,1220,8075
39,2.5,4,2.0,8,605000.0,2620,0.0,2620,7553
40,2.5,4,2.0,9,625000.0,2570,0.0,2570,5520
41,2.25,4,1.0,8,775000.0,2600,1620.0,4220,24186
42,2.75,5,2.0,9,861990.0,3595,0.0,3595,5639
43,1.0,3,2.0,7,685000.0,1570,0.0,1570,2280
44,1.0,3,1.0,6,309000.0,920,360.0,1280,9656
45,2.5,3,2.0,8,488000.0,3160,0.0,3160,13603
46,1.0,3,1.0,6,210490.0,990,0.0,990,8528
47,2.5,4,2.0,9,785000.0,2290,0.0,2290,13416
48,1.75,3,1.0,7,450000.0,1250,0.0,1250,5963
49,2.5,3,1.0,9,1350000.0,2165,588.0,2753,65005
50,1.0,3,1.0,7,228000.0,1190,0.0,1190,9199
51,2.5,5,1.0,8,345000.0,1640,1510.0,3150,9134
52,1.75,3,1.0,7,600000.0,1000,410.0,1410,4080
53,1.75,2,1.0,7,585000.0,990,990.0,1980,8550
54,2.25,5,1.5,8,920000.0,2130,600.0,2730,6000
55,2.5,4,2.0,9,885000.0,2830,0.0,2830,5000
56,2.5,4,2.0,7,292500.0,2250,0.0,2250,4495
57,2.5,3,2.0,8,301000.0,2420,0.0,2420,4750
58,3.25,5,2.0,8,951000.0,3250,0.0,3250,14342
59,3.0,4,2.0,8,430000.0,1850,0.0,1850,9976
60,2.25,3,1.0,8,650000.0,1590,560.0,2150,21235
61,1.75,3,1.0,7,289000.0,1260,0.0,1260,8400
62,1.75,3,2.0,8,505000.0,2519,0.0,2519,8690
63,1.75,3,3.0,8,549000.0,1540,0.0,1540,1044
64,2.25,3,1.0,7,425000.0,1110,550.0,1660,6000
65,2.75,3,1.5,7,317625.0,1770,1000.0,2770,3809
66,2.5,4,2.0,10,975000.0,2720,0.0,2720,11049
67,2.5,4,2.0,7,287000.0,2240,0.0,2240,4648
68,1.0,3,1.0,7,204000.0,1000,0.0,1000,12070
69,2.25,5,1.0,8,1330000.0,1600,1600.0,3200,20158
70,3.25,5,1.0,11,1040000.0,3070,1700.0,4770,50094
71,2.0,3,1.0,7,325000.0,1260,0.0,1260,5612
72,2.0,4,1.5,7,571000.0,2250,500.0,2750,7807
73,2.5,4,2.0,8,360000.0,2380,0.0,2380,5000
74,1.75,3,1.0,7,349000.0,1090,700.0,1790,50529
75,4.0,4,2.0,10,832500.0,2390,1040.0,3430,35102
76,1.75,4,1.0,7,380000.0,880,880.0,1760,7300
77,1.0,3,1.0,7,480000.0,1040,0.0,1040,5060
78,1.0,3,1.0,7,410000.0,910,500.0,1410,5060
79,2.5,4,2.0,10,720000.0,3450,0.0,3450,39683
80,2.5,3,2.0,8,390000.0,2350,0.0,2350,5100
81,2.5,4,2.0,7,360000.0,1900,0.0,1900,5889
82,1.0,2,1.0,7,355000.0,1010,1010.0,2020,6720
83,1.5,3,1.0,8,356000.0,1680,0.0,1680,8712
84,1.0,3,1.0,6,315000.0,960,0.0,960,6634
85,1.5,3,2.0,9,940000.0,1900,240.0,2140,3600
86,2.25,5,1.5,7,305000.0,2660,0.0,2660,8400
87,3.25,3,2.0,9,461000.0,1980,790.0,2770,6278
88,2.25,2,2.0,7,215000.0,1610,0.0,1610,2040
89,1.75,2,2.0,7,335000.0,765,265.0,1030,1066
90,2.5,4,2.0,7,243500.0,1980,0.0,1980,7403
91,2.75,5,2.0,10,1100000.0,3520,0.0,3520,6353
92,1.0,3,1.0,7,153000.0,1200,0.0,1200,10500
93,1.5,3,1.0,8,430000.0,1290,290.0,1580,5000
94,1.5,3,1.0,8,700000.0,1290,290.0,1580,5000
96,1.75,3,1.0,7,247500.0,1960,0.0,1960,15681
97,1.5,4,1.0,7,199000.0,1160,0.0,1160,6400
98,1.75,3,1.0,7,314000.0,1210,600.0,1810,41800
99,2.5,3,2.0,9,437500.0,2320,0.0,2320,36847
100,2.5,3,1.5,9,850830.0,1270,800.0,2070,13241
101,2.0,3,1.5,7,555000.0,1440,540.0,1980,3478
102,2.25,3,2.0,8,699950.0,2190,0.0,2190,107593
104,1.0,3,1.0,7,290000.0,1210,0.0,1210,33919
105,2.5,3,1.0,8,375000.0,1460,880.0,2340,10005
106,1.0,3,1.5,7,460000.0,1170,500.0,1670,4005
107,1.75,2,1.0,8,188500.0,1240,0.0,1240,2493
108,2.5,4,2.0,10,680000.0,3140,0.0,3140,28037
109,1.75,5,2.0,7,470000.0,2030,0.0,2030,12342
110,2.5,4,2.0,8,597750.0,2310,0.0,2310,9624
111,1.75,3,1.0,6,570000.0,700,560.0,1260,3328
112,1.75,3,1.0,7,272500.0,1160,0.0,1540,12600
113,1.75,3,1.0,7,329950.0,1080,1000.0,2080,5969
114,2.5,4,2.0,9,480000.0,2520,710.0,3230,16171
115,3.5,3,2.0,8,740500.0,2780,0.0,4380,6350
116,3.5,3,3.0,8,518500.0,1590,0.0,1590,1102
117,1.0,2,1.0,6,205425.0,880,0.0,880,6780
118,2.0,4,1.0,6,171800.0,1570,0.0,1570,9600
119,1.0,4,1.5,7,535000.0,1610,0.0,1610,2982
120,2.5,3,1.0,8,660000.0,1560,840.0,2400,6474
121,2.0,3,1.0,7,391500.0,1450,0.0,1450,9132
122,1.0,2,1.0,6,395000.0,770,0.0,770,6000
123,1.75,4,1.5,7,445000.0,1720,380.0,2100,4400
124,2.25,3,2.0,9,770000.0,2910,0.0,2910,10204
126,2.25,3,1.0,8,445000.0,1620,480.0,2100,8201
127,2.25,4,1.0,8,260000.0,1360,800.0,2160,8811
128,3.5,5,2.0,7,822500.0,1720,600.0,2320,4960
129,2.5,4,2.0,7,430000.0,2070,0.0,2070,4310
130,1.75,3,1.0,7,212000.0,1060,0.0,1060,7875
131,2.25,4,1.0,8,660500.0,1440,570.0,2010,9603
132,3.5,3,1.5,9,784000.0,2460,1490.0,3950,111078
133,2.5,3,2.0,8,453246.0,1390,620.0,2010,2287
134,3.5,4,3.0,9,675000.0,2140,0.0,2140,2278
135,1.75,3,1.0,7,199000.0,1320,0.0,1320,17390
136,1.75,4,1.0,7,220000.0,1010,1010.0,2020,7840
137,2.25,4,1.0,8,452000.0,1340,1250.0,2590,10002
138,1.0,2,1.0,6,382500.0,1190,0.0,1190,4440
139,2.25,3,3.0,8,519950.0,1170,0.0,1170,1249
140,1.0,2,1.0,7,665000.0,1110,0.0,1110,3200
141,2.5,5,1.0,8,527700.0,1550,1270.0,2820,9375
142,1.0,3,1.0,7,205000.0,1010,600.0,1610,8579
143,1.0,3,1.0,7,420000.0,940,120.0,1060,8097
144,2.25,4,1.0,8,500000.0,1380,650.0,2030,8517
146,1.0,4,2.0,8,890000.0,2370,180.0,2550,4000
147,2.5,2,2.0,7,430000.0,2420,0.0,2420,60984
148,2.0,5,1.0,8,258000.0,1130,1130.0,2260,12500
149,1.0,3,1.0,7,511000.0,980,450.0,1430,3455
150,2.0,3,2.0,8,532170.0,1360,0.0,1360,3090
151,1.0,3,1.5,7,560000.0,1110,0.0,1110,5000
152,1.0,3,1.0,7,282950.0,1250,0.0,1250,8200
153,3.25,4,2.0,12,2250000.0,3540,1640.0,5180,19850
154,1.0,1,1.0,7,350000.0,700,0.0,700,5100
155,1.0,3,1.0,7,215000.0,1180,0.0,1180,7669
156,3.5,5,2.0,9,650000.0,2500,1460.0,3960,25245
157,2.75,4,1.0,8,320000.0,1620,1020.0,2640,7500
159,1.75,4,1.0,8,320000.0,1760,0.0,1760,11180
160,2.25,5,1.0,7,255000.0,1030,1030.0,2060,8632
161,1.75,3,1.0,7,438000.0,1780,0.0,1780,9660
162,2.5,3,2.0,10,900000.0,3400,0.0,3400,16603
163,2.75,3,1.0,7,441000.0,1160,750.0,1910,7280
164,2.0,3,1.0,7,420000.0,1010,1010.0,2020,38332
165,1.75,3,1.0,7,370000.0,1180,400.0,1580,7000
166,1.75,2,1.0,5,269950.0,700,640.0,1340,7250
167,2.5,4,2.0,9,807100.0,2680,0.0,2680,4499
168,2.5,3,1.0,8,653000.0,1610,1070.0,2680,9750
169,2.0,3,1.0,7,371500.0,1370,0.0,1370,8336
170,1.75,3,1.0,7,284000.0,1560,0.0,1560,21000
171,1.75,3,1.0,7,272000.0,1670,490.0,2160,7140
172,1.5,3,1.5,7,313000.0,1340,0.0,1340,7912
173,2.5,4,2.0,10,917500.0,2570,1310.0,3880,35003
174,2.25,4,2.0,8,673000.0,2590,0.0,2590,8190
175,2.5,3,2.0,8,425000.0,820,300.0,1120,1100
176,2.75,5,1.0,7,399950.0,1320,650.0,1970,5400
